base_query_num,num_problems,query_expand_num,retrieval_summary.macro_f2,retrieval_summary.macro_precision,retrieval_summary.macro_recall,retrieval_summary.source_coverage.BM25,retrieval_summary.source_coverage.Junyo,retrieval_summary.source_coverage.LLMoutput
1,101,1,0.6573,0.7277,0.6485,0.5495,0.0099,0.0941
1,101,2,0.7156,0.7772,0.7079,0.5495,0.0099,0.1683
1,101,3,0.7123,0.7673,0.7079,0.5495,0.0099,0.1733
1,101,4,0.7158,0.764,0.7129,0.5495,0.0099,0.1832
1,101,5,0.7275,0.7822,0.7228,0.5495,0.0099,0.1931
1,101,6,0.7397,0.7855,0.7376,0.5495,0.0099,0.2129
1,101,7,0.7316,0.7838,0.7277,0.5495,0.0099,0.2129
1,101,8,0.7371,0.7739,0.7376,0.5495,0.0099,0.2228
1,101,9,0.7244,0.7673,0.7228,0.5495,0.0099,0.2277
1,101,10,0.7254,0.7756,0.7228,0.5495,0.0099,0.2277
2,101,1,0.6936,0.7475,0.6881,0.6584,0.0099,0.0594
2,101,2,0.7305,0.7723,0.7277,0.6584,0.0099,0.0941
2,101,3,0.7112,0.7673,0.7079,0.6584,0.0099,0.0941
2,101,4,0.7178,0.7673,0.7129,0.6584,0.0099,0.104
2,101,5,0.7118,0.7624,0.7079,0.6584,0.0099,0.104
2,101,6,0.7063,0.7541,0.703,0.6584,0.0099,0.1238
2,101,7,0.6986,0.7525,0.6931,0.6584,0.0099,0.1238
2,101,8,0.6914,0.7393,0.6881,0.6584,0.0099,0.1337
2,101,9,0.6849,0.7409,0.6782,0.6584,0.0099,0.1337
2,101,10,0.6986,0.7525,0.6931,0.6584,0.0099,0.1337
3,101,1,0.7151,0.7723,0.7079,0.6782,0.0099,0.0594
3,101,2,0.7168,0.7607,0.7129,0.6782,0.0099,0.0743
3,101,3,0.7069,0.7607,0.703,0.6782,0.0099,0.0743
3,101,4,0.7112,0.7574,0.7079,0.6782,0.0099,0.0842
3,101,5,0.7025,0.7508,0.698,0.6782,0.0099,0.0842
3,101,6,0.7189,0.7591,0.7178,0.6782,0.0099,0.104
3,101,7,0.703,0.7624,0.698,0.6782,0.0099,0.104
3,101,8,0.6909,0.7442,0.6881,0.6782,0.0099,0.1139
3,101,9,0.6964,0.7624,0.6881,0.6782,0.0099,0.1139
3,101,10,0.6991,0.7574,0.6931,0.6782,0.0099,0.1139
4,101,1,0.7118,0.7624,0.7079,0.6881,0.0099,0.0594
4,101,2,0.7167,0.7673,0.7129,0.6881,0.0099,0.0644
4,101,3,0.7156,0.7673,0.7129,0.6881,0.0099,0.0644
4,101,4,0.7134,0.7673,0.7079,0.6881,0.0099,0.0743
4,101,5,0.714,0.7723,0.7079,0.6881,0.0099,0.0743
4,101,6,0.7177,0.7756,0.7129,0.6881,0.0099,0.0941
4,101,7,0.7085,0.7624,0.703,0.6881,0.0099,0.0941
4,101,8,0.721,0.7558,0.7228,0.6881,0.0099,0.104
4,101,9,0.7277,0.7772,0.7228,0.6881,0.0099,0.104
4,101,10,0.7156,0.7574,0.7129,0.6881,0.0099,0.104
